;Kompetenzbereiche;;;
Kompetenzbereiche;Beschreibung;Index;Berufsfeld;Niveau
Chemische/ physikalische/biologische Stoffe analysieren (untersuchen);"Der Kompetenzbereich  beinhaltet Kompetenzen, 
die für die erfolgreiche Planung, Durchführung, 
Optimierung und Dokumentation chemischer, 
physikalischer und biologischer Analyseverfahren
vorhanden sein sollten. ";1;Chemikant;
Chemische/biologische  Produktionsverfahren vorbereiten/ planen, durchführen und optimieren ;"Der Kompetenzbereich beinhaltet  Kompetenzen, 
die für die erfolgreiche Planung, Durchführung, 
Optimierung und Dokumentation chemischer/ 
biologischer Produktionsverfahren vorhanden 
sein sollten.";2;Chemikant;4
Anlagen bedienen, installieren und instandhalten;"Der Kompetenzbereich beinhaltet  Kompetenzen, die
 für die erfolgreiche Bewältigung, der Maschinen ,Apparate-, Anlagenbedienung, der technisch-
 mechanischen Vorbereitung von Maschinen, 
Apparate und Anlagen, und der dauerhaften 
Gewährleistung der technischen Funktionalität 
vorhanden sein sollten.";3;Chemikant;4
Chemische/biologische Verfahrensprozesse steuern und überwachen;Der Kompetenzbereich beinhaltet  Kompetenzen, die für die erfolgreiche Bewältigung der Beurteilung und Beeinflussung von Produktionsprozessen hinsichtlich eines gewünschten Ablaufes vorhanden sein sollten.;4;Chemikant;4
Qualität prüfen, gewährleisten und verbessern  ;Der Kompetenzbereich beinhaltet Kompetenzen, die für die erfolgreiche Bewältigung der Einhaltung oder Entwicklung organisierter Maßnahmen, die der Verbesserung von Produkten, Prozessen oder Leistungen dienen, vorhanden sein sollten.;5;Chemikant;4
Kosten kalkulieren, planen und beeinflussen;Der Kompetenzbereich beinhaltet  Kompetenzen, die für die erfolgreiche Bewältigung der Planung, Beurteilung und Beeinflussung betrieblicher Abläufe nach wirtschaftlichen Gesichtspunkten vorhanden sein sollten.;6;Chemikant;4
Mitarbeiter organisieren, fördern und beurteilen;Der Kompetenzbereich beinhaltet  Kompetenzen, die für die erfolgreiche Bewältigung der Personalbesetzung, der Personalführung und der Personalentwicklung vorhanden sein sollten.;7;Chemikant;4
Chemische/ physikalische/biologische Stoffe analysieren (untersuchen);"Der Kompetenzbereich  beinhaltet Kompetenzen, 
die für die erfolgreiche Planung, Durchführung, 
Optimierung und Dokumentation chemischer, 
physikalischer und biologischer Analyseverfahren
vorhanden sein sollten. ";1;Industriemeister;
Chemische/biologische  Produktionsverfahren vorbereiten/ planen, durchführen und optimieren ;"Der Kompetenzbereich beinhaltet  Kompetenzen, 
die für die erfolgreiche Planung, Durchführung, 
Optimierung und Dokumentation chemischer/ 
biologischer Produktionsverfahren vorhanden 
sein sollten.";2;Industriemeister;6
Anlagen bedienen, installieren und instandhalten;"Der Kompetenzbereich beinhaltet  Kompetenzen, die
 für die erfolgreiche Bewältigung, der Maschinen ,Apparate-, Anlagenbedienung, der technisch-
 mechanischen Vorbereitung von Maschinen, 
Apparate und Anlagen, und der dauerhaften 
Gewährleistung der technischen Funktionalität 
vorhanden sein sollten.";3;Industriemeister;6
Chemische/biologische Verfahrensprozesse steuern und überwachen;Der Kompetenzbereich beinhaltet  Kompetenzen, die für die erfolgreiche Bewältigung der Beurteilung und Beeinflussung von Produktionsprozessen hinsichtlich eines gewünschten Ablaufes vorhanden sein sollten.;4;Industriemeister;6
Qualität prüfen, gewährleisten und verbessern  ;Der Kompetenzbereich beinhaltet Kompetenzen, die für die erfolgreiche Bewältigung der Einhaltung oder Entwicklung organisierter Maßnahmen, die der Verbesserung von Produkten, Prozessen oder Leistungen dienen, vorhanden sein sollten.;5;Industriemeister;6
Kosten kalkulieren, planen und beeinflussen;Der Kompetenzbereich beinhaltet  Kompetenzen, die für die erfolgreiche Bewältigung der Planung, Beurteilung und Beeinflussung betrieblicher Abläufe nach wirtschaftlichen Gesichtspunkten vorhanden sein sollten.;6;Industriemeister;6
Mitarbeiter organisieren, fördern und beurteilen;Der Kompetenzbereich beinhaltet  Kompetenzen, die für die erfolgreiche Bewältigung der Personalbesetzung, der Personalführung und der Personalentwicklung vorhanden sein sollten.;7;Industriemeister;6
Tätigkeitsübergreifende Kompetenzen;Tätigkeitsübergreifende Kompetenzen sind  Kompetenzen, die für die erfolgreiche Bewältigung der gestellten Anforderungen aus  den Tätigkeitsfeldern I-VII vorhanden sein sollten.;8;Industriemeister;6
