;"berufliche Kompetenzen";"Beschreibung";"Quelle Curriculum"
"K1";"Kann selbständig (fremdsprachliche) Informationen (technische Regelwerke, Betriebsanleitungen und Arbeitsanweisungen  für die Planung von Analyseverfahren beschaffen, auswerten und anwenden";;"4.5.b, L3"
"K2";" Kann Ablauf einer Analyse von der Probenahme bis zur Validierung des Analyseergebnisses planen ";" Kann eine/ein adäquate/s Methode/Verfahren zur Analyse chemischer, physikalischer und biologischer Stoffe bestimmen 
 Kann bei der Planung und Durchführung sowohl ökonomische Gesichtspunkte miteinbeziehen, als auch Regelungen zur Arbeitssicherheit, Gesundheit und Umweltschutz berücksichtigen 
Kann Verfahrensschritte analytischer Verfahren optimieren 
 Kann Messparameter der angewandten Verfahren einstellen und optimieren";"L8, L10, L7, L9, 7.3.a,
 7.5.b, 12.d, 13.a, 14.a, 15.a, L4, L8, L9, L10, L8, 12.3, 13.c"
"K3";" Kann Struktur und Eigenschaften von chemischen Stoffen bestimmen  charakterisieren ";;"L3, 8.3"
"K4";"Kann anorganische (chemische) Reaktionsgleichungen zum entsprechenden Verfahren aufstellen  und charakteristische Reaktionen zur Identifizierung anorganischer Stoffe durchführen ";"Kann Stoffe spektroskopisch analysieren (L9/14/14.e) 
 Kann (biochemische(18.a) Stoffe fotometrisch analysieren(L4/6.3.a)
 Kann Stoffe elektrochemisch analysieren (L15)
 Kann direkte und indirekte (acidimetrisch-alkalimetrisch, komplexometrisch und oxidimetrisch- reduktometrisch (7.5.c.d)) volumetrische Analyse durchführen (L7/7.5.c)
  Kann gravimetrische Analysen durchführen (L7/7.4.b)
 Kann eine qualitative und quantitative spektroskopische Analyse durchführen (L9/7.3.b)
 Kann chromatographische Verfahren bestimmen und eine quantitative Analyse bei chemischen/ biochemischer Stoffe (18.a)  durchführen (L4/L8/6.3.b.c/7.6.a.b )
 Kann Stoffe mit Kopplungstechniken analysieren (L10/15.e)
 Kann enzymatische Analysen durchführen (L17/18.b)";"L9, 14, 14.e, 18.a, L4,
 6.3.a, L15, 7.5.c.d, L7, 
7.5.c, 7.4.b, L9, 7.3.b, 18a, L4, L8, 6.3.b.c, 7.6.a.b, L10, 15.e, L17, 18.b"
"K5";" Kann Konzentrationen berechnen ";"



";"5.e"
"K6";"Kann ein geeignetes Verfahren zu Probenahmen (nach Spezifität, Repräsentativität und Materialbeschaffenheit /Substratbeschaffenheit ), -konservierung und -aufbewahrung auswählen ";;"12.a, L16, L9, L10, L10, 6.1.a, 12.b"
"K7";" Kann Proben und Referenzmaterialien zur Messung (für automatisierte Analysesysteme  vorbereiten ) und nehmen ";;"7.1.c, L10, ll.23.a, L7, 7.1.b, 12.b, 13.b, 14.b, 15.b, L7, 6.1.b"
"K8";" Kann Messparameter einstellen und optimieren ";;"L10, 14.c, 15.c"
"K9";"Kann Rechner zur Messwertaufnahme, zur -auswertung und -präsentation einsetzten ";;"L4, 4.4.a"
"K10";"Kann Messergebnisse analytischer Arbeiten auswerten und auf Plausibilität prüfen , validieren und (Spektren) interpretieren";;"L7, L8, 7.7, 19.d, 12.f,
 L10, 13.f, 14.f, 15.f"
"K11";" Kann Protokolle anfertigen und erhobene Daten und Ergebnisse (nach geltenden Qualitätsregularien  dokumentieren  anschaulich darstellen / Arbeitsabläufe dokumentieren ";" Kann Dokumentationsarten unterscheiden  
 Kann Hilfsmittel zur Dokumentation einsetzten 
 Kann über den Einsatz von Laborinformations- und Labormanagementsystemen Auskunft geben und einsetzen 
";"L17, L7, L8, 7.7, 19.d, II.26.d,L4, 4.2.d, 4.2.b, 4.2.c, L10 "
"K12";" Kann Ergebnisse mit Bestimmungen von Regelwerken vergleichen ";;"II.26.d "
"K13";" Kann Werkstoffe zur Prüfung vorbereiten, prüfen und deren Oberflächenbeschaffenheit und Stoffverteilung (Werkstoffeigenschaften bestimmen  und  beurteilen  ";;"19.a.b.c., L13"
"K14";"Kann Beschichtungen (untersuchen ) nach Anforderungsprofil prüfen und Fehler erkennen ";;"L19, 20.b, ll.36"
"K15";" Kann farbmetrische Messungen durchführen  ";;"II.35"
"K16";" Kann diagnostische Arbeiten durchführen ";" Kann Wirkstoffe testen";"L17, II.33"
"K17";"Kann Kenngrößen und Konzentrationen von Umweltparametern bestimmen ";" Kann Größe von Emissions- und Immissionswerten bestimmen ";"II.27.b,  L16, II.27.c"
"K18";"Kann Mikroorganismen und Zellen identifizieren ";"Kann Regeln und Vorschriften für den Umgang mit biologischen Material anwenden ";"L14"
