;"berufliche Kompetenzen";"Beschreibung";"Quelle Curriculum"
"K1";"Kennt Laborinformations- und Labormanagementsysteme";;"L10"
"K2";"Kennt Regelungen zur Arbeitssicherheit";"Kennt die Regelungen zum Umgang mit Gefahrenstoffe";"L1, L2, L4"
"K3";"Kennt grundlegende Regelungen zum Umweltrecht";;"L2, L4"
"K4";"Kennt den Aufbau von Stoffen und die charakteristischen Eigenschaften von Stoffen";;"L3"
"K5";"Kennt Prinzipien chemischer Bindungen";;"L3"
"K6";"Kennt Prinzipien chemischer Reaktionen und Reaktionsgleichungen";;"L3"
"K7";"Kennt unterschiedliche Analyseverfahren und deren Prinzipien";"Kennt Prinzipen fotometrischer Gehaltsbestimmung von Lösungen
Kennt Prinzipen der Volumetrie und der Gravimetrie
Kennt  verschiedene Titrationsarten
Kennt statistische Berechnungen
Kennt Methoden und Prinzipien der Spektroskopie
Kennt Methoden und Prinzipien von spektroskopischen und fotometrischen Messungen
Kennt Kopplungstechniken und deren Prinzipien
Kennt unterschiedliche chromatische Analyseverfahren und deren Prinzipien";"L4, L7, L8, L10, L19"
"K8";"Kennt Methoden der computergestützten Messwertaufnahme";;"L7"
"K9";"Kennt Methoden der Probenahme, der  Probenvorbereitung des Probenaufschlusses, der Probenkonservierung und Probenaufbewahrung";;"L7, L9, L10, L12"
"K10";"Kennt Möglichkeiten der Problembehebung und Optimierung bei der Festlegung von Messparameter";;"L9, L10"
"K11";"Kennt Prinzipien automatischer Analysesysteme";;"L10"
"K12";"Kennt Verfahren zur Messung von Glanz, Härte, Haftung bei Beschichtungsstoffen";;"L19"
"K13";"Kennt die physikalisch- chemischen Grundlagen der Chromatografie für Verfahren zur Werkstoffprüfung";;"L4 ,L13"
"K14";"Kennt  Verfahren zur Werkstoff Prüfung und deren Prinzipien";"Kennt den Zusammenhang zwischen Eigenschaften von Werkstoffen und deren Herstellung sowie für die Anwendung";"L13"
"K15";"Kennt Verfahren und Prinzipien zur Bestimmung von Enzymaktivitäten";;"L17"
"K16";"Kennt  Methoden und Prinzipien zur Untersuchung von Zellkulturen";;"L18"
"K17";"Kennt Prinzipien der Protokollführung";"Kennt Prinzipien der Textverarbeitung und Tabellenkalkulation
Kennt Regeln der Datensicherung und des Datenschutzes";"L1, L4"
