;berufliche Kompetenzen;Beschreibung;Quelle Curriculum
1;"Kann bei beruflichen Tätigkeiten und Umgebungen Maßnahmen zur Erhaltung
der Sicherheit im eigenen Arbeitsbereich umsetzen und beurteilen";;
2;"Kann bei beruflichen Tätigkeiten und Umgebungen Maßnahmen zur Erhaltung
der Gesundheit im eigenen Arbeitsbereich umsetzen und beurteilen";;
3;"Kann bei beruflichen Tätigkeiten und Umgebungen Maßnahmen zur
Vermeidung betriebsbedingter Umweltbelastungen im eigenen Arbeitsbereich
umsetzen und beurteilen";;
4;"Kann beruflichen Tätigkeiten in Rahmen von wirtschaftlichen und terminlichen
Vorgaben konkret planen (wie z.B. Arbeitsschritte festlegen) sowie den
Arbeitsplatz unter Berücksichtigung betrieblicher und ergonomischer Vorgaben
Einrichten";;
5;"Kann (fremdsprachige) Informationsquellen recherchieren, auswählen und zur
Unterstützung von berufstypischen Tätigkeiten nutzen";;
6;"Kann berufliche Tätigkeiten sowie Arbeitsergebnisse (z.B. im Kontext von
Analyseverfahren oder Herstellungsverfahren) angemessen dokumentieren";;
7;"Kann betriebsspezifische Kommunikations- und Informationssysteme unter
Beachtung von Regeln zum Datenschutz und zur Datensicherheit nutzen";;
8;"Kann fremdsprachige Fachbegriffe bei berufstypischen Tätigkeiten anwenden
(wie z.B. englischsprachige Informationsquellen nutzen, Auskünfte in einer
Fremdsprache geben)";;
9;Kann biochemische Arbeiten durchführen (z.B. enzymatische Analysen);;
10;"Kann mikrobiologische Arbeiten durchführen (z.B. Methoden der Desinfektion
und Sterilisation)";;
11;"Kann zellkulturtechnische Arbeiten durchführen (z.B. Untersuchungen an
Zellkulturen)";;
12;"Kann umweltbezogene Arbeiten durchführen (z. B. Emissions- und
Immissionswerten bestimmen)";;
13;"Kann betriebsübliche Arbeitsstoffe (z. B. Säuren, Lösungen, Gasen usw.) sicher
handhaben sowie relevante Eigenschaften beurteilen";;
