;berufliche Kompetenzen;Beschreibung;Quelle Curriculum
1;Kann die Arbeits- und Anlagensicherheit im berufsüblichen Arbeitsbereich im Rahmen rechtlicher Grundlagen und betrieblicher Vorgaben überprüfen (z.B. durch das Erkennen von Schwachstellen) und gewährleisten (z.B. durch die Einleitung von vorbeugender Maßnahmen);;
2;Kann den Gesundheitsschutz im berufsüblichen Arbeitsbereich nach rechtlichen Grundlagen und betrieblicher Vorgaben überprüfen (z.B. durch das Erkennen von Schwachstellen) und gewährleisten (z.B. durch die Einleitung von vorbeugender Maßnahmen);;
3;Kann den Umweltschutz im berufsüblichen Arbeitsbereich nach rechtlichen Grundlagen und betrieblicher Vorgaben überprüfen und gewährleisten (z.B. durch die Einleitung von vorbeugender Maßnahmen);;
4;Kann Planungstechniken und Projektmanagementmethoden zur Gestaltung von Arbeitsabläufen (z.B. zur Zeitplanung) unterscheiden;;
5;Kann Präsentationstechniken anwenden;;
6;Kann technische Unterlagen (Berichte, Dokumentationen) lesen und als Informationsquelle  ;;
7;Kann Statistiken, Tabellen und Diagramme zur Analyse und zur Veranschaulichung erstellen ;;
8;Kann mithilfe von unterschiedlichen Informations- und Kommunikationsformen den Informationsfluss im üblichen Arbeitsbereich gestalten und sicherstellen ;;
9;Kann Planungs- und Steuerungssysteme zur Produktions-, Mengen-, Kapazitäts- und Terminplanung einsetzen;;
10;Kann Informationen und Anweisungen der Betriebsleitung vermitteln (z.B. durch die Aufbereitung der Informationen und die Organisation der Kommunikation) ;;
11;Kann mit Kunden serviceorientiert kommunizieren (z.B. durch die Beherrschung Frage-,Konfliktlösungs- und Argumentationstechniken)  ;;
