;"Kompetenzmodell Chemikant";;;;
;;"Kompetenzaspekte";;;
;;"Fachkompetenz";;"Personale Kompetenz";
;;"Wissen";"Fertigkeiten";"Sozialkompetenz";"Selbstkompetenz"
"Kompetenzbereiche";"Beschreibung";"Tiefe und Breite des Wissens";"Instrumentelle und systematische Fertigkeiten, Beurteilungsfähigkeit";"Team-/Führungsfähigkeit, Mitgestaltung und Kommunikation";"Selbständigkeit/ Verantwortung, Reflexivität und Lernkompetenz"
"Chemische/ physikalische/biologische Stoffe analysieren (untersuchen)";"Der Kompetenzbereich  beinhaltet Kompetenzen, 
die für die erfolgreiche Planung, Durchführung, 
Optimierung und Dokumentation chemischer, 
physikalischer und biologischer Analyseverfahren
vorhanden sein sollten. ";"CK1W";"CK1F";"CK1K";"CK1M"
"Chemische/biologische  Produktionsverfahren vorbereiten/ planen, durchführen und optimieren ";"Der Kompetenzbereich beinhaltet  Kompetenzen, 
die für die erfolgreiche Planung, Durchführung, 
Optimierung und Dokumentation chemischer/ 
biologischer Produktionsverfahren vorhanden 
sein sollten.";"CK2W";"CK2F";"CK2K";"CK2M"
"Anlagen bedienen, installieren und instandhalten";"Der Kompetenzbereich beinhaltet  Kompetenzen, die
 für die erfolgreiche Bewältigung, der Maschinen ,Apparate-, Anlagenbedienung, der technisch-
 mechanischen Vorbereitung von Maschinen, 
Apparate und Anlagen, und der dauerhaften 
Gewährleistung der technischen Funktionalität 
vorhanden sein sollten.";"CK3W";"CK3F";"CK3K";"CK3M"
"Chemische/biologische Verfahrensprozesse steuern und überwachen";"Der Kompetenzbereich beinhaltet  Kompetenzen, die für die erfolgreiche Bewältigung der Beurteilung und Beeinflussung von Produktionsprozessen hinsichtlich eines gewünschten Ablaufes vorhanden sein sollten.";"CK4W";"CK4F";"CK4K";"CK4M"
"Qualität prüfen, gewährleisten und verbessern  ";"Der Kompetenzbereich beinhaltet Kompetenzen, die für die erfolgreiche Bewältigung der Einhaltung oder Entwicklung organisierter Maßnahmen, die der Verbesserung von Produkten, Prozessen oder Leistungen dienen, vorhanden sein sollten.";"CK5W";"CK5F";"CK5K";"CK5M"
"Kosten kalkulieren, planen und beeinflussen";"Der Kompetenzbereich beinhaltet  Kompetenzen, die für die erfolgreiche Bewältigung der Planung, Beurteilung und Beeinflussung betrieblicher Abläufe nach wirtschaftlichen Gesichtspunkten vorhanden sein sollten.";"CK6W";"CK6F";"CK6K";"CK6M"
"Mitarbeiter organisieren, fördern und beurteilen";"Der Kompetenzbereich beinhaltet  Kompetenzen, die für die erfolgreiche Bewältigung der Personalbesetzung, der Personalführung und der Personalentwicklung vorhanden sein sollten.";"CK7W";"CK7F";"CK7K";"CK7M"
