;Kompetenzbereiche;;;;
Kompetenzbereich;Beschreibung;Index;Berufsfeld;Niveau;Niveau Beschreibung
Chemische/ physikalische/biologische Stoffe analysieren (untersuchen);"Der Kompetenzbereich  beinhaltet Kompetenzen, 
die für die erfolgreiche Planung, Durchführung, 
Optimierung und Dokumentation chemischer, 
physikalischer und biologischer Analyseverfahren
vorhanden sein sollten. ";1;Chemikant;;
Chemische/biologische  Produktionsverfahren vorbereiten/ planen, durchführen und optimieren ;"Der Kompetenzbereich beinhaltet  Kompetenzen, 
die für die erfolgreiche Planung, Durchführung, 
Optimierung und Dokumentation chemischer/ 
biologischer Produktionsverfahren vorhanden 
sein sollten.";2;Chemikant;4;Er/Sie ist in der Lage  kompetenzbezogene Aufgabenstellungen im Rahmen der Vorbereitung/Planung, Durchführung und Optimierung von chemischer/biologischer Produktionsverfahren (bspw. Feststoffe zu zerkleinern und klassieren)  auch unter sich verändernden und nicht eindeutigen Rahmenbedingungen selbständig zu planen, zu bearbeiten, ggf. hierbei auftretende Probleme zu lösen sowie Arbeitsergebnisse unter Beachtung von Wechselwirkungen zu beurteilen.
Anlagen bedienen, installieren und instandhalten;"Der Kompetenzbereich beinhaltet  Kompetenzen, die
 für die erfolgreiche Bewältigung, der Maschinen ,Apparate-, Anlagenbedienung, der technisch-
 mechanischen Vorbereitung von Maschinen, 
Apparate und Anlagen, und der dauerhaften 
Gewährleistung der technischen Funktionalität 
vorhanden sein sollten.";3;Chemikant;4;"Er/Sie ist in der Lage  kompetenzbezogene Aufgabenstellungen im Rahmen der Bedienung, Installation und Instandhaltung von Anlagen (wie bspw. Installationsschaltungen herzustellen) auch unter sich verändernden und nicht eindeutigen Rahmenbedingungen selbständig zu planen, zu bearbeiten, ggf. hierbei auftretende Probleme zu lösen sowie Arbeitsergebnisse unter Beachtung von Wechselwirkungen zu beurteilen.     
"
Chemische/biologische Verfahrensprozesse steuern und überwachen;Der Kompetenzbereich beinhaltet  Kompetenzen, die für die erfolgreiche Bewältigung der Beurteilung und Beeinflussung von Produktionsprozessen hinsichtlich eines gewünschten Ablaufes vorhanden sein sollten.;4;Chemikant;4;"Er/Sie ist in der Lage  kompetenzbezogene Aufgabenstellungen im Rahmen der Steuerung und Überwachung von chemischen/biologischen Verfahrensprozessen (wie bspw. Mess- und Regelungseinrichtungen einzustellen) auch unter sich verändernden und nicht eindeutigen Rahmenbedingungen selbständig zu planen, zu bearbeiten, ggf. hierbei auftretende Probleme zu lösen sowie Arbeitsergebnisse unter Beachtung von Wechselwirkungen zu beurteilen.     
"
Qualität prüfen, gewährleisten und verbessern  ;Der Kompetenzbereich beinhaltet Kompetenzen, die für die erfolgreiche Bewältigung der Einhaltung oder Entwicklung organisierter Maßnahmen, die der Verbesserung von Produkten, Prozessen oder Leistungen dienen, vorhanden sein sollten.;5;Chemikant;4;"Er/Sie ist in der Lage  kompetenzbezogene Aufgabenstellungen im Rahmen der Prüfung, Gewährleistung und Verbesserung der Qualität von Produkten, Prozessen oder Leistungen (wie bspw. die Dokumentation eines eingesetzten Qualitätsmanagementsystems) auch unter sich verändernden und nicht eindeutigen Rahmenbedingungen selbständig zu planen, zu bearbeiten, ggf. hierbei auftretende Probleme zu lösen sowie Arbeitsergebnisse unter Beachtung von Wechselwirkungen zu beurteilen.
"
Kosten kalkulieren, planen und beeinflussen;Der Kompetenzbereich beinhaltet  Kompetenzen, die für die erfolgreiche Bewältigung der Planung, Beurteilung und Beeinflussung betrieblicher Abläufe nach wirtschaftlichen Gesichtspunkten vorhanden sein sollten.;6;Chemikant;4;"Er/Sie ist in der Lage  kompetenzbezogene Aufgabenstellungen im Rahmen der Kalkulation, Planung und Beeinflussung (wie bspw. Kostenvorgaben einzuhalten) auch unter sich verändernden und nicht eindeutigen Rahmenbedingungen selbständig zu planen, zu bearbeiten, ggf. hierbei auftretende Probleme zu lösen sowie Arbeitsergebnisse unter Beachtung von Wechselwirkungen zu beurteilen.     
"
Mitarbeiter organisieren, fördern und beurteilen;Der Kompetenzbereich beinhaltet  Kompetenzen, die für die erfolgreiche Bewältigung der Personalbesetzung, der Personalführung und der Personalentwicklung vorhanden sein sollten.;7;Chemikant;4;"Er/Sie ist in der Lage  kompetenzbezogene tätigkeitsübergreifende Aufgabenstellungen (wie bspw. Umweltbelastungen zu vermeiden)        auch unter sich verändernden und nicht eindeutigen Rahmenbedingungen selbständig zu planen, zu bearbeiten, ggf. hierbei auftretende Probleme zu lösen sowie Arbeitsergebnisse unter Beachtung von Wechselwirkungen zu beurteilen.     
"
Tätigkeitsübergreifende Kompetenzen;Tätigkeitsübergreifende Kompetenzen sind  Kompetenzen, die für die erfolgreiche Bewältigung der gestellten Anforderungen aus  den Tätigkeitsfeldern I-VII vorhanden sein sollten.;8;Chemikant;4;Er/Sie ist in der Lage  kompetenzbezogene tätigkeitsübergreifende Aufgabenstellungen (wie bspw. Umweltbelastungen zu vermeiden)        auch unter sich verändernden und nicht eindeutigen Rahmenbedingungen selbständig zu planen, zu bearbeiten, ggf. hierbei auftretende Probleme zu lösen sowie Arbeitsergebnisse unter Beachtung von Wechselwirkungen zu beurteilen.      
Chemische/ physikalische/biologische Stoffe analysieren (untersuchen);"Der Kompetenzbereich  beinhaltet Kompetenzen, 
die für die erfolgreiche Planung, Durchführung, 
Optimierung und Dokumentation chemischer, 
physikalischer und biologischer Analyseverfahren
vorhanden sein sollten. ";1;Industriemeister;;"
"
